row,date,description,town,lat,lon,status
146,03/05/2026,company commander tank bayyadah,Al Bayada / Bayyadah,33.16242222,35.18071389,mapped
147,02/05/2026,Strike on namer apc in bint jbeil,Bint Jbeil,33.12122222,35.43349722,mapped
148,02/05/2026,Strike on drone control system,Al Bayada / Bayyadah,33.16242222,35.18071389,mapped
149,01/05/2026,Vehicle And Soldier Gathering Bayyadah,Al Bayada / Bayyadah,33.16242222,35.18071389,mapped
150,01/05/2026,Strike on soldiers,Al Bayada / Bayyadah,33.16242222,35.18071389,mapped
151,01/05/2026,Strike on humvee,Al Bayada / Bayyadah,33.16242222,35.18071389,mapped
152,01/05/2026,namer vehicle bint jbeil,Bint Jbeil,33.12122222,35.43349722,mapped
153,01/05/2026,merkava tank rashaf,Rachaf / Rashaf,33.14407222,35.36260833,mapped
154,30/04/2026,Strike on humvee in naqoura,Naqoura,33.118975,35.14008333,mapped
155,29/04/2026,Strike on merkava tank,Beit Lif,33.13361111,35.33277778,mapped
156,28/04/2026,Vehicles and soldiers namr al jamal alma al shaab,Border Israel opposite Alma al-Shaab,33.09506944,35.1746,mapped
157,24/04/2026,D9 engineering vehicle between taybeh and deir siryan,Taybeh,33.27614167,35.52115278,mapped
